Princess Grace de Monaco,Fabergé,10211355
Face à Face Femme,Façonnable,10211356
Fendi (original) / Fendi Donna,Fendi,10211362
Asja,Fendi,10211364
Fantasia,Fendi,10211365
Theorema,Fendi,10211366
Theorema Esprit d'Été,Fendi,10211367
Tweed,Fine Fragrances & Cosmetics,10211370
Panache,Fine Fragrances & Cosmetics,10211371
Chique,Fine Fragrances & Cosmetics,10211372
Lace,Fine Fragrances & Cosmetics,10211373
White Satin,Fine Fragrances & Cosmetics,10211374
Fiorucci Loves You,Fiorucci,10211376
Acqua Degli Angeli,Fiorucci,10211377
Stephanotis,Floris,10211379
Malmaison,Floris,10211381
Lily of the Valley,Floris,10211384
Zinnia (original),Floris,10211385
Edwardian Bouquet,Floris,10211387
Florissa,Floris,10211389
Zinnia (new),Floris,10211391
Seringa,Floris,10211392
Gardenia,Floris,10211393
Fleur,Floris,10211395
China Rose,Floris,10211396
Bouquet de la Reine,Floris,10211397
White Rose,Floris,10211398
Arielle,Fragonard,10211399
Soleil,Fragonard,10211400
Sorenza,Fragonard,10211401
Grain de Soleil,Fragonard,10211402
Innisfree,Fragrances of Ireland,10211403
Hope,Frances Denney,10211406
Interlude,Frances Denney,10211407
273 Rodeo Drive,Fred Hayman,10211411
Touch,Fred Hayman,10211413
273 Indigo,Fred Hayman,10211415
Bulgarian Rose,Fresh,10211438
FUBU Plush for Women,FUBU,10211454
Gabriela Sabatini,Gabriela Sabatini,10211455
Magnetic,Gabriela Sabatini,10211456
Cascaya,Gabriela Sabatini,10211457
Wild Wind,Gabriela Sabatini,10211459
Summer,Gabriela Sabatini,10211460
Daylight,Gabriela Sabatini,10211462
Strenesse,Gabriele Strehle,10211463
Beverly Hills,Gale Hayman,10211473
Delicious ,Gale Hayman,10211474
Delicious Feelings,Gale Hayman,10211475
Sunset Boulevard,Gale Hayman,10211476
Style,Gale Hayman,10211478
Heaven,Gap,10211479
Grass,Gap,10211480
Earth,Gap,10211481
Dream,Gap,10211483
Gap Blue No. 655 Her,Gap,10211485
Close,Gap,10211486
So Pink,Gap,10211487
Laila,Geir Ness,10211490
Carrìerre,Gendarme,10211492
Genny (original),Genny,10211493
Geoffrey Beene,Geoffrey Beene,10211497
Royal Secret,Royal Secret,10211499
Ghost,Ghost,10211501
Deep Night,Ghost,10211503
Deepest Night,Ghost,10211504
Ghost Serenity,Ghost,10211505
Gianfranco Ferré,Gianfranco Ferré,10211509
Ferré by Ferré,Gianfranco Ferré,10211510
GFF F,Gianfranco Ferré,10211512
Gianfranco Ferré 20,Gianfranco Ferré,10211513
Essence d'Eau,Gianfranco Ferré,10211514
Armani,Giorgio Armani,10211515
Giò,Giorgio Armani,10211516
Acqua di Giò,Giorgio Armani,10211517
Emporio Armani She,Giorgio Armani,10211518
Mania (original),Giorgio Armani,10211519
Emporio Armani White She,Giorgio Armani,10211520
Sensi,Giorgio Armani,10211521
Emporio Armani Night She,Giorgio Armani,10211522
Giorgio,Giorgio Beverly Hills,10211524
Red,Giorgio Beverly Hills,10211525
Wings,Wings,10211526
Giorgio Aire,Giorgio Beverly Hills,10211528
Ocean Dream,Designer Parfums,10211529
Red 2,Giorgio Beverly Hills,10211530
G,Giorgio Beverly Hills,10211531
Giorgio Beverly Hills / So You,Giorgio Beverly Hills,10211532
Le De,Givenchy,10211533
L'Interdit (original),Givenchy,10211534
Givenchy III,Givenchy,10211535
Eau de Givenchy (original),Givenchy,10211536
Ysatis,Givenchy,10211537
Amarige,Givenchy,10211538
L'Interdit II,Givenchy,10211539
Fleur D'Interdit,Givenchy,10211540
Organza,Givenchy,10211541
Extravagance D'Amarige,Givenchy,10211542
Organza Indécence,Givenchy,10211543
Hot Couture,Givenchy,10211544
Oblique REW,Givenchy,10211545
Oblique FFWD,Givenchy,10211547
Hot Couture White Collection,Givenchy,10211548
Amarige D'Amour,Givenchy,10211550
L'Interdit (new),Givenchy,10211551
My Givenchy,Givenchy,10211554
Only Givenchy,Givenchy,10211555
Very Irrésistible,Givenchy,10211557
Vanderbilt,Gloria Vanderbilt,10211559
Glorious,Gloria Vanderbilt,10211560
V,Gloria Vanderbilt,10211561
Vanderbilt Woman,Gloria Vanderbilt,10211566
Cabochard,Grès,10211576
Alix,Grès,10211577
